id,show_id,date_added,release_year
1,s1,"September 25, 2021",2020
2,s2,"September 24, 2021",2021
3,s3,"September 24, 2021",2021
4,s4,"September 24, 2021",2021
5,s5,"September 24, 2021",2021
6,s6,"September 24, 2021",2021
7,s7,"September 24, 2021",2021
8,s8,"September 24, 2021",1993
9,s9,"September 24, 2021",2021
10,s10,"September 24, 2021",2021
11,s11,"September 24, 2021",2021
12,s12,"September 23, 2021",2021
13,s13,"September 23, 2021",2021
14,s14,"September 22, 2021",2021
15,s15,"September 22, 2021",2021
16,s16,"September 22, 2021",2021
17,s17,"September 22, 2021",2020
18,s18,"September 22, 2021",2020
19,s19,"September 22, 2021",2021
20,s20,"September 22, 2021",2021
21,s21,"September 22, 2021",2021
22,s22,"September 22, 2021",2018
23,s23,"September 21, 2021",1996
24,s24,"September 21, 2021",2021
25,s25,"September 21, 2021",1998
26,s26,"September 21, 2021",2021
27,s27,"September 21, 2021",1997
28,s28,"September 20, 2021",2010
29,s29,"September 19, 2021",2013
30,s30,"September 19, 2021",2013
31,s31,"September 17, 2021",2021
32,s32,"September 17, 2021",2021
33,s33,"September 17, 2021",2020
34,s34,"September 17, 2021",2021
35,s35,"September 17, 2021",2020
36,s36,"September 17, 2021",2021
37,s37,"September 17, 2021",2021
38,s38,"September 16, 2021",2018
39,s39,"September 16, 2021",2017
40,s40,"September 16, 2021",2021
41,s41,"September 16, 2021",2021
42,s42,"September 16, 2021",1975
43,s43,"September 16, 2021",1978
44,s44,"September 16, 2021",1983
45,s45,"September 16, 2021",1987
46,s46,"September 16, 2021",2021
47,s47,"September 16, 2021",2012
48,s48,"September 16, 2021",2020
49,s49,"September 16, 2021",2001
50,s50,"September 15, 2021",2021
51,s51,"September 15, 2021",2014
52,s52,"September 15, 2021",2002
53,s53,"September 15, 2021",2003
54,s54,"September 15, 2021",2004
55,s55,"September 15, 2021",2001
56,s56,"September 15, 2021",2021
57,s57,"September 15, 2021",2011
58,s58,"September 15, 2021",2008
59,s59,"September 15, 2021",2009
60,s60,"September 15, 2021",2007
61,s61,"September 15, 2021",2010
62,s62,"September 15, 2021",2005
63,s63,"September 15, 2021",2006
64,s64,"September 15, 2021",2004
