Restaurant ID,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu
6317637,Yes,No,No,No
6304287,Yes,No,No,No
6300002,Yes,No,No,No
6318506,No,No,No,No
6314302,Yes,No,No,No
18189371,No,No,No,No
6300781,Yes,No,No,No
6301290,Yes,No,No,No
6300010,Yes,No,No,No
6314987,Yes,No,No,No
6309903,No,No,No,No
6309455,Yes,No,No,No
6318433,No,No,No,No
6310470,Yes,No,No,No
6314605,No,No,No,No
18185059,No,No,No,No
18182702,No,No,No,No
6318213,Yes,No,No,No
18255654,No,No,No,No
6308205,Yes,No,No,No
6315438,Yes,No,No,No
6310406,Yes,No,No,No
6600681,No,No,No,No
6601005,No,No,No,No
6600292,No,No,No,No
6600441,No,No,No,No
6600970,No,No,No,No
6600379,No,No,No,No
6600214,No,No,No,No
6601218,No,No,No,No
6600060,No,No,No,No
6600083,No,No,No,No
6601515,No,No,No,No
6601361,No,No,No,No
6601602,No,No,No,No
6601589,No,No,No,No
6601862,No,No,No,No
6601595,No,No,No,No
6601158,No,No,No,No
6600427,No,No,No,No
6600116,No,No,No,No
6601457,No,No,No,No
7303219,No,No,No,No
7304307,No,No,No,No
7301215,No,No,No,No
7300596,No,No,No,No
7300612,No,No,No,No
7300704,No,No,No,No
7300955,No,No,No,No
7300521,No,No,No,No
7300515,No,No,No,No
7300483,No,No,No,No
7301064,No,No,No,No
7304312,No,No,No,No
7300004,No,No,No,No
7300868,No,No,No,No
7302637,No,No,No,No
7302140,No,No,No,No
7305048,No,No,No,No
7302898,No,No,No,No
7302859,No,No,No,No
7301700,No,No,No,No
6706313,No,No,No,No
6704326,No,No,No,No
6711179,No,No,No,No
6702797,No,No,No,No
6700475,No,No,No,No
6713413,No,No,No,No
6714340,No,No,No,No
6710645,No,No,No,No
6700402,No,No,No,No
6700846,No,No,No,No
6702159,No,No,No,No
6711666,No,No,No,No
6701257,No,No,No,No
6706211,No,No,No,No
6705858,No,No,No,No
6701419,No,No,No,No
6703956,No,No,No,No
6709580,No,No,No,No
6703176,No,No,No,No
6713772,No,No,No,No
17284404,No,No,No,No
17284203,No,No,No,No
17284105,No,No,No,No
17284302,No,No,No,No
17284397,No,No,No,No
17284211,No,No,No,No
17284094,No,No,No,No
17284409,No,No,No,No
17284139,No,No,No,No
17284403,No,No,No,No
17284145,No,No,No,No
17284150,No,No,No,No
17284158,No,No,No,No
17284175,No,No,No,No
17284179,No,No,No,No
17284197,No,No,No,No
17284241,No,No,No,No
17284390,No,No,No,No
17284279,No,No,No,No
17284364,No,No,No,No
16611114,No,No,No,No
17293281,No,No,No,No
17293301,No,No,No,No
17293409,No,No,No,No
17293163,No,No,No,No
17293228,No,No,No,No
17293880,No,No,No,No
17293169,No,No,No,No
17293186,No,No,No,No
17293180,No,No,No,No
17293205,No,No,No,No
17293229,No,No,No,No
17293897,No,No,No,No
17293273,No,No,No,No
17293870,No,No,No,No
17293877,No,No,No,No
17293890,No,No,No,No
17293915,No,No,No,No
17293422,No,No,No,No
17293873,No,No,No,No
17294014,No,No,No,No
17294556,No,No,No,No
17294607,No,No,No,No
17294279,No,No,No,No
17294300,No,No,No,No
17295215,No,No,No,No
17295028,No,No,No,No
17294642,No,No,No,No
17295109,No,No,No,No
17294441,No,No,No,No
17294552,No,No,No,No
17294565,No,No,No,No
17294623,No,No,No,No
17294712,No,No,No,No
17295033,No,No,No,No
17295069,No,No,No,No
17294261,No,No,No,No
17295115,No,No,No,No
17294836,No,No,No,No
17294850,No,No,No,No
17294883,No,No,No,No
16608864,No,No,No,No
16604911,No,No,No,No
17303465,No,No,No,No
17303642,No,No,No,No
17303670,No,No,No,No
17303545,No,No,No,No
17303655,No,No,No,No
17304691,No,No,No,No
17303478,No,No,No,No
17303480,No,No,No,No
17304733,No,No,No,No
17303646,No,No,No,No
17304929,No,No,No,No
17303684,No,No,No,No
17303772,No,No,No,No
17305123,No,No,No,No
17303787,No,No,No,No
17303990,No,No,No,No
