Restaurant ID,Cuisines,Average Cost for two,Currency,Price range
6317637,"French, Japanese, Desserts",1100,Botswana Pula(P),3
6304287,Japanese,1200,Botswana Pula(P),3
6300002,"Seafood, Asian, Filipino, Indian",4000,Botswana Pula(P),4
6318506,"Japanese, Sushi",1500,Botswana Pula(P),4
6314302,"Japanese, Korean",1500,Botswana Pula(P),4
18189371,Chinese,1000,Botswana Pula(P),3
6300781,"Asian, European",2000,Botswana Pula(P),4
6301290,"Seafood, Filipino, Asian, European",2000,Botswana Pula(P),4
6300010,"European, Asian, Indian",6000,Botswana Pula(P),4
6314987,Filipino,1100,Botswana Pula(P),3
6309903,"Filipino, Mexican",800,Botswana Pula(P),3
6309455,"American, Ice Cream, Desserts",900,Botswana Pula(P),3
6318433,"Filipino, Mexican",800,Botswana Pula(P),3
6310470,Filipino,1000,Botswana Pula(P),3
6314605,Korean,700,Botswana Pula(P),3
18185059,"Cafe, American, Italian, Filipino",800,Botswana Pula(P),3
18182702,"Italian, Pizza",850,Botswana Pula(P),3
6318213,Filipino,1200,Botswana Pula(P),3
18255654,"Cafe, Korean, Desserts",600,Botswana Pula(P),2
6308205,"Cafe, Bakery, American, Italian",1500,Botswana Pula(P),4
6315438,"Seafood, American, Mediterranean, Japanese",3000,Botswana Pula(P),4
6310406,"American, Asian, Italian, Seafood",1800,Botswana Pula(P),4
6600681,"Fast Food, French",55,Brazilian Real(R$),2
6601005,Cafe,30,Brazilian Real(R$),1
6600292,Bakery,45,Brazilian Real(R$),2
6600441,Brazilian,60,Brazilian Real(R$),3
6600970,Pizza,50,Brazilian Real(R$),2
6600379,Japanese,80,Brazilian Real(R$),3
6600214,Arabian,90,Brazilian Real(R$),3
6601218,Japanese,200,Brazilian Real(R$),4
6600060,"Brazilian, Cafe",30,Brazilian Real(R$),1
6600083,Italian,150,Brazilian Real(R$),4
6601515,Pizza,100,Brazilian Real(R$),4
6601361,"Bar Food, Brazilian",60,Brazilian Real(R$),3
6601602,"Mexican, Grill",100,Brazilian Real(R$),4
6601589,International,230,Brazilian Real(R$),4
6601862,"Peruvian, Latin American",100,Brazilian Real(R$),4
6601595,"American, Grill",150,Brazilian Real(R$),4
6601158,Seafood,240,Brazilian Real(R$),4
6600427,International,230,Brazilian Real(R$),4
6600116,Italian,350,Brazilian Real(R$),4
6601457,"American, Burger",50,Brazilian Real(R$),2
7303219,"Seafood, Bar Food, Brazilian",140,Brazilian Real(R$),4
7304307,"Desserts, Cafe",100,Brazilian Real(R$),4
7301215,"Juices, Healthy Food",60,Brazilian Real(R$),3
7300596,"Beverages, Bar Food, Fast Food",90,Brazilian Real(R$),3
7300612,Lebanese,170,Brazilian Real(R$),4
7300704,Burger,60,Brazilian Real(R$),3
7300955,"Brazilian, Bar Food",100,Brazilian Real(R$),4
7300521,"Brazilian, Healthy Food, Juices, Pizza",90,Brazilian Real(R$),3
7300515,"Brazilian, Bar Food",120,Brazilian Real(R$),4
7300483,Brazilian,170,Brazilian Real(R$),4
7301064,Brazilian,90,Brazilian Real(R$),3
7304312,Italian,150,Brazilian Real(R$),4
7300004,Japanese,250,Brazilian Real(R$),4
7300868,"Bakery, Sandwich, Brazilian",120,Brazilian Real(R$),4
7302637,Brazilian,40,Brazilian Real(R$),2
7302140,"Brazilian, Seafood",250,Brazilian Real(R$),4
7305048,"Bar Food, Brazilian",70,Brazilian Real(R$),3
7302898,Brazilian,300,Brazilian Real(R$),4
