Restaurant ID,Aggregate rating,Rating color,Rating text,Votes
6317637,4.8,Dark Green,Excellent,314
6304287,4.5,Dark Green,Excellent,591
6300002,4.4,Green,Very Good,270
6318506,4.9,Dark Green,Excellent,365
6314302,4.8,Dark Green,Excellent,229
18189371,4.4,Green,Very Good,336
6300781,4,Green,Very Good,520
6301290,4.2,Green,Very Good,677
6300010,4.9,Dark Green,Excellent,621
6314987,4.8,Dark Green,Excellent,532
6309903,4.9,Dark Green,Excellent,1070
6309455,4.2,Green,Very Good,488
6318433,4.8,Dark Green,Excellent,294
6310470,4.2,Green,Very Good,458
6314605,4.3,Green,Very Good,223
18185059,3.6,Yellow,Good,29
18182702,4,Green,Very Good,72
6318213,4.5,Dark Green,Excellent,211
18255654,4.5,Dark Green,Excellent,118
6308205,4.4,Green,Very Good,392
6315438,4.7,Dark Green,Excellent,535
6310406,4.5,Dark Green,Excellent,618
6600681,3,Orange,Average,6
6601005,3.8,Yellow,Good,9
6600292,3.7,Yellow,Good,11
6600441,3.8,Yellow,Good,11
6600970,3.2,Orange,Average,11
6600379,3.1,Orange,Average,10
6600214,3.7,Yellow,Good,8
6601218,3.7,Yellow,Good,5
6600060,0,White,Not rated,2
6600083,4.1,Green,Very Good,12
6601515,3.1,Orange,Average,9
6601361,3.6,Yellow,Good,9
6601602,4.3,Green,Very Good,29
6601589,4.2,Green,Very Good,17
6601862,3.6,Yellow,Good,5
6601595,4,Green,Very Good,10
6601158,3.2,Orange,Average,6
6600427,4.9,Dark Green,Excellent,30
6600116,3.3,Orange,Average,8
6601457,3.6,Yellow,Good,9
7303219,4,Green,Very Good,7
7304307,4.8,Dark Green,Excellent,29
7301215,4.7,Dark Green,Excellent,24
7300596,4.5,Dark Green,Excellent,29
7300612,4.2,Green,Very Good,11
7300704,4.8,Dark Green,Excellent,19
7300955,4.9,Dark Green,Excellent,40
7300521,4.6,Dark Green,Excellent,21
7300515,4.9,Dark Green,Excellent,49
7300483,4.6,Dark Green,Excellent,21
7301064,4.3,Green,Very Good,14
7304312,4,Green,Very Good,5
7300004,4.6,Dark Green,Excellent,25
7300868,4.4,Green,Very Good,13
7302637,4.2,Green,Very Good,7
7302140,4.2,Green,Very Good,8
7305048,0,White,Not rated,1
7302898,4.7,Dark Green,Excellent,44
7302859,4.6,Dark Green,Excellent,24
7301700,4.3,Green,Very Good,10
6706313,4.5,Dark Green,Excellent,49
6704326,4.4,Green,Very Good,17
6711179,3.1,Orange,Average,5
6702797,4.1,Green,Very Good,15
